OrderID,CustomerID,OrderDate,DeliveryTime(min),TotalOrderValue,ItemsOrdered,DeliveryLocation(Latitude),DeliveryLocation(Longitude),DispatchLocation(Latitude),DispatchLocation(Longitude),DistanceFromRestaurant(KM)
32,Cust032,2023-07-02,8.309974331193153,150,Pizza,19.085047718429017,72.86155352103636,19.0047,72.8415,9.14097176431247
13,Cust013,2023-07-02,7.415527369188568,625,"Burgers, Burgers, Sushi, Sushi, Burgers",19.0621704452847,72.87024891821915,19.0047,72.8415,7.044751000729139
141,Cust141,2023-07-06,7.737294529426788,500,"Pizza, Sandwiches, Sandwiches, Sushi",19.0673692680115,72.90898839189455,19.0047,72.8415,9.929527979431045
14,Cust014,2023-07-06,5.580847391216618,150,Pizza,19.012851596396324,72.90898274081843,19.0047,72.8415,7.162087485394659
192,Cust192,2023-07-07,3.8165228196456824,655,"Sushi, Sushi, Burgers, Pasta",19.026297005810378,72.86049546160224,19.0047,72.8415,3.1168269693773074
97,Cust097,2023-07-07,12.614855935479794,680,"Burgers, Pizza, Burgers, Sushi, Pasta",19.075910108918265,72.91346919282553,19.0047,72.8415,10.932875144082487
72,Cust072,2023-07-08,9.920885896449036,275,"Sushi, Sandwiches",19.055714436808493,72.93020635348836,19.0047,72.8415,10.912974486093939
17,Cust017,2023-07-08,4.944031859707188,225,"Pizza, Burgers",19.037389424193247,72.85222123325175,19.0047,72.8415,3.7904244257755106
79,Cust079,2023-07-08,12.626898342921331,330,"Pizza, Pasta",19.048258698177683,72.92353514381858,19.0047,72.8415,9.89107036862171
144,Cust144,2023-07-09,6.647187116023331,480,"Pizza, Pizza, Pasta",19.076338976576977,72.8565889229505,19.0047,72.8415,8.08741099116172
12,Cust012,2023-07-10,9.28672893526041,75,Sandwiches,19.080376634533035,72.88287666940481,19.0047,72.8415,9.441507750848082
45,Cust045,2023-07-10,8.930253376461545,455,"Pasta, Burgers, Sushi",19.065184868048494,72.86517930171028,19.0047,72.8415,7.1442027011692355
177,Cust177,2023-07-10,5.763712155771723,605,"Sandwiches, Sandwiches, Pasta, Sushi, Burgers",19.050559940909437,72.88876877558346,19.0047,72.8415,7.108578325451791
105,Cust105,2023-07-10,5.8946358499061615,180,Pasta,19.01865096649742,72.90323409785185,19.0047,72.8415,6.680587296560316
92,Cust092,2023-07-11,8.284942669545552,225,"Pizza, Burgers",19.069273831286917,72.8695222236906,19.0047,72.8415,7.732613158242516
23,Cust023,2023-07-12,1.8268415696503164,275,"Sushi, Sandwiches",19.0109079047818,72.8547256789139,19.0047,72.8415,1.5528153342027688
25,Cust025,2023-07-13,12.991521698192571,615,"Burgers, Pasta, Pasta, Pasta",19.076004472851206,72.91486678018278,19.0047,72.8415,11.042793443463685
93,Cust093,2023-07-13,4.134802992463513,480,"Sandwiches, Sandwiches, Pizza, Pasta",19.04004468439695,72.87457361191304,19.0047,72.8415,5.237417123787116
134,Cust134,2023-07-14,7.72122127264422,275,"Sushi, Burgers",19.02091128380422,72.92159983066854,19.0047,72.8415,8.622030421119378
143,Cust143,2023-07-14,13.274281928903697,705,"Pasta, Sandwiches, Pizza, Pizza, Pizza",19.096806531254554,72.908372064344,19.0047,72.8415,12.389329800310119
171,Cust171,2023-07-15,7.189918466553621,480,"Pizza, Pasta, Sandwiches, Sandwiches",19.09019519042655,72.84377817845036,19.0047,72.8415,9.466725980962268
21,Cust021,2023-07-17,9.767092614992151,630,"Burgers, Pizza, Pasta, Burgers, Pizza",19.081964742196313,72.86079029568855,19.0047,72.8415,8.790383353492935
78,Cust078,2023-07-17,7.899286649826556,890,"Pizza, Sushi, Pasta, Pasta, Pasta",19.049040820132088,72.91853142122866,19.0047,72.8415,9.479143979791868
163,Cust163,2023-07-18,8.298982781469974,200,Sushi,19.038606323519776,72.91619951103075,19.0047,72.8415,8.713931920543471
55,Cust055,2023-07-19,7.745644692827299,635,"Pasta, Pasta, Sushi, Burgers",19.01354946504382,72.897129072062,19.0047,72.8415,5.938327597834263
128,Cust128,2023-07-19,3.2509958187754386,700,"Sushi, Sushi, Pizza, Burgers, Burgers",19.018728088200373,72.87436708121193,19.0047,72.8415,3.792828455238012
63,Cust063,2023-07-20,9.068984264962829,655,"Sushi, Sandwiches, Sushi, Pasta",19.0682080459758,72.92780459105283,19.0047,72.8415,11.487380068952916
189,Cust189,2023-07-20,16.231666023747046,275,"Sandwiches, Sushi",19.098400002538035,72.92398712170873,19.0047,72.8415,13.526388353122536
39,Cust039,2023-07-21,4.0964275527808685,255,"Pasta, Burgers",19.04312279870626,72.8697334969357,19.0047,72.8415,5.188808233522432
83,Cust083,2023-07-21,5.706445352225043,435,"Pasta, Pasta, Burgers",19.06940280101859,72.85986243028414,19.0047,72.8415,7.418378957892556
131,Cust131,2023-07-21,12.342341993778202,530,"Sushi, Sandwiches, Pasta, Sandwiches",19.08460459320707,72.89864823629254,19.0047,72.8415,10.696696394607775
108,Cust108,2023-07-21,4.41827201290003,300,"Pizza, Sandwiches, Sandwiches",19.02873278666589,72.87674299728752,19.0047,72.8415,4.5655477466633645
164,Cust164,2023-07-21,16.92652470244149,75,Sandwiches,19.111742356542344,72.92813938485732,19.0047,72.8415,14.951763487156649
22,Cust022,2023-07-21,10.548918521587508,375,"Sandwiches, Pizza, Sandwiches, Burgers",19.093034439059075,72.8524487181864,19.0047,72.8415,9.845657286815008
111,Cust111,2023-07-22,10.063723658669998,730,"Sushi, Pasta, Sandwiches, Burgers, Sushi",19.072801510915703,72.90721650359289,19.0047,72.8415,10.231452386314498
165,Cust165,2023-07-23,6.222716968724612,180,Pasta,19.064607064114245,72.84424715877587,19.0047,72.8415,6.637564766639586
89,Cust089,2023-07-24,8.984476198962922,225,"Sandwiches, Sandwiches, Burgers",19.083290469179065,72.89704859674156,19.0047,72.8415,10.481888898790075
57,Cust057,2023-07-26,8.355449506595635,255,"Pasta, Sandwiches",19.048876978777386,72.91227787359419,19.0047,72.8415,8.91247947370201
174,Cust174,2023-07-27,6.082193671926324,380,"Sushi, Pasta",19.02095266300275,72.8865065638146,19.0047,72.8415,5.06849472660527
51,Cust051,2023-07-28,6.787893516508388,530,"Pasta, Pizza, Sushi",19.011141026042026,72.91209336288723,19.0047,72.8415,7.466682868159226
197,Cust197,2023-07-28,5.2921842759574265,575,"Burgers, Sandwiches, Sandwiches, Sushi, Pizza",19.011451005841273,72.90814230949356,19.0047,72.8415,7.056245701276569
43,Cust043,2023-07-29,9.985911626677964,350,"Burgers, Sushi, Sandwiches",19.023441955311714,72.9278040129532,19.0047,72.8415,9.320184184899434
106,Cust106,2023-07-30,5.704221571275137,180,Pasta,19.04028177746551,72.87943500898041,19.0047,72.8415,5.609151211753884
149,Cust149,2023-07-31,7.903283215009332,560,"Sushi, Pasta, Pasta",19.07491266227721,72.89091623646601,19.0047,72.8415,9.352218471094377
148,Cust148,2023-07-31,6.034491766193376,150,Pizza,19.06826370551912,72.84381374563408,19.0047,72.8415,7.040240393892272
4,Cust004,2023-07-31,13.690644544089615,635,"Pasta, Burgers, Sushi, Pasta",19.11174621332222,72.84734926246033,19.0047,72.8415,11.865225271544332
61,Cust061,2023-07-31,3.4068994164286694,375,"Pizza, Sandwiches, Pizza",19.01557381103711,72.8819829882739,19.0047,72.8415,4.4289692413572705
33,Cust033,2023-07-31,3.7599353786926795,405,"Pasta, Burgers, Burgers, Burgers",19.039885115933853,72.8505911147241,19.0047,72.8415,4.0105977372721915
69,Cust069,2023-07-31,11.084769108377316,75,Burgers,19.11478279535006,72.91458241179792,19.0047,72.8415,14.41019984089051
139,Cust139,2023-07-31,8.533458280088185,350,"Sandwiches, Sushi, Burgers",19.051495067802442,72.88163498155996,19.0047,72.8415,6.684542319402412
95,Cust095,2023-07-31,9.066368212456215,200,Sushi,19.081974475344225,72.87780427868587,19.0047,72.8415,9.368580486204754
64,Cust064,2023-08-01,3.7072890761049084,350,"Burgers, Sushi, Sandwiches",19.03933093839633,72.85783821688972,19.0047,72.8415,4.201594286252229
173,Cust173,2023-08-01,7.663514328992821,180,Pasta,19.028825918531574,72.92508469018411,19.0047,72.8415,9.196217194791386
109,Cust109,2023-08-01,4.207961743954797,200,Sushi,19.024665855130767,72.86289900097613,19.0047,72.8415,3.155971307966098
184,Cust184,2023-08-02,2.5836951173344387,330,"Pasta, Pizza",19.028879770021106,72.84927875253211,19.0047,72.8415,2.7990030437789755
31,Cust031,2023-08-02,5.0056038182139755,300,"Pizza, Pizza",19.045292560111633,72.88399215325549,19.0047,72.8415,6.340431503071036
135,Cust135,2023-08-03,18.772945582006997,350,"Pizza, Sushi",19.100289301426205,72.92974614565506,19.0047,72.8415,14.079709186505248
160,Cust160,2023-08-03,11.058804228725755,500,"Burgers, Burgers, Pizza, Sushi",19.08173878225726,72.91110699746875,19.0047,72.8415,11.243117632537851
175,Cust175,2023-08-05,4.708464066385058,785,"Sushi, Sandwiches, Pasta, Pizza, Pasta",19.02710505330374,72.87863589442455,19.0047,72.8415,4.629989665278639
84,Cust084,2023-08-05,13.720783547575314,180,Pasta,19.115338708197456,72.89528678130569,19.0047,72.8415,13.492103821782392
196,Cust196,2023-08-05,1.6012186086681743,180,Pasta,19.022779412829873,72.8418137816165,19.0047,72.8415,2.001523260835218
10,Cust010,2023-08-05,7.215758569566144,405,"Burgers, Pizza, Pasta",19.058797458930584,72.88559282237699,19.0047,72.8415,7.5765464980444515
121,Cust121,2023-08-06,6.345206283317214,150,"Sandwiches, Burgers",19.01336044769088,72.90513585465303,19.0047,72.8415,6.768220035538362
46,Cust046,2023-08-07,8.903734808450505,275,"Burgers, Sushi",19.025448205673097,72.92612245157565,19.0047,72.8415,9.200525968732189
40,Cust040,2023-08-07,5.746275046401335,860,"Pizza, Sushi, Pasta, Pizza, Pasta",19.05738003904129,72.8828779595792,19.0047,72.8415,7.278615058775025
152,Cust152,2023-08-08,3.4420258940959716,360,"Pasta, Pasta",19.033713751257473,72.86786931494949,19.0047,72.8415,4.245165269385032
127,Cust127,2023-08-09,15.367490577269534,760,"Sushi, Pasta, Sushi, Pasta",19.099109361604054,72.92380767681172,19.0047,72.8415,13.57461667658809
